地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
西片倉１〜３丁目,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
西寺方町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
弐分方町（松子舞団地）,収集地区13,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150114,隔金20150116,月 木,隔火20150106,隔火20150106
弐分方町（松子舞団地を除く）,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
狭間町,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
八幡町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
初沢町,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
東浅川町,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
東中野,収集地区10,水,隔火20150106,隔木20150108,隔木20150115,隔金20150109,隔金20150109,隔金20150109,隔水20150107,隔木20150122,火 金,隔月20150112,隔月20150112
兵衛１〜２丁目,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
日吉町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
平岡町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
富士見町,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
別所１丁目（1〜26番地）,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
別所１丁目（27番地〜）,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
別所２丁目,収集地区11,水,隔火20150113,隔木20150115,隔木20150108,隔金20150116,隔金20150116,隔金20150116,隔水20150107,隔木20150115,火 金,隔月20150105,隔月20150105
堀之内,収集地区13,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150114,隔金20150116,月 木,隔火20150106,隔火20150106
堀之内２〜３丁目,収集地区15,木,隔水20150114,隔金20150116,隔金20150109,隔月20150112,隔月20150112,隔月20150112,隔水20150107,隔金20150116,火 金,隔火20150106,隔火20150106
本郷町,収集地区19,金,隔木20150115,隔月20150112,隔月20150105,隔火20150113,隔火20150113,隔火20150113,隔水20150107,隔月20150112,火 金,隔水20150107,隔水20150107
本町,収集地区2,月,隔金20150116,隔火20150113,隔火20150106,隔水20150114,隔水20150114,隔水20150114,隔水20150114,隔火20150113,月 木,隔木20150108,隔木20150108
